SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2020-12-05,10.0,13.0,60.0,32.0,60.0,Ponda
2020-05-15,9.0,13.0,59.0,34.0,59.0,Ponda
2020-05-19,9.0,13.0,55.0,32.0,55.0,Ponda
2020-05-23,10.0,13.0,62.0,33.0,62.0,Ponda
2020-05-26,10.0,13.0,52.0,29.0,52.0,Ponda
2020-05-29,11.0,14.0,58.0,29.0,58.0,Ponda
2020-02-06,9.0,12.0,53.0,27.0,53.0,Ponda
2020-06-06,8.0,12.0,46.0,24.0,46.0,Ponda
2020-09-06,8.0,12.0,51.0,26.0,51.0,Ponda
2020-12-06,9.0,13.0,46.0,24.0,46.0,Ponda
2020-06-16,8.0,12.0,51.0,27.0,51.0,Ponda
2020-06-19,9.0,12.0,44.0,23.0,44.0,Ponda
2020-06-23,7.0,12.0,41.0,21.0,41.0,Ponda
2020-06-26,7.0,11.0,45.0,24.0,45.0,Ponda
2020-06-30,8.0,12.0,43.0,24.0,43.0,Ponda
2020-03-07,7.0,11.0,43.0,22.0,43.0,Ponda
2020-08-07,6.0,11.0,42.0,24.0,42.0,Ponda
2020-10-07,7.0,12.0,43.0,22.0,43.0,Ponda
2020-07-14,7.0,12.0,44.0,24.0,44.0,Ponda
2020-07-17,6.0,11.0,38.0,20.0,38.0,Ponda
2020-07-21,7.0,12.0,42.0,23.0,42.0,Ponda
2020-07-24,7.0,12.0,44.0,21.0,44.0,Ponda
2020-07-28,6.0,12.0,42.0,23.0,42.0,Ponda
2020-07-31,7.0,12.0,45.0,24.0,45.0,Ponda
2020-04-08,7.0,12.0,44.0,23.0,44.0,Ponda
2020-07-08,6.0,11.0,42.0,24.0,42.0,Ponda
2020-11-08,7.0,12.0,43.0,22.0,43.0,Ponda
2020-08-14,7.0,12.0,45.0,23.0,45.0,Ponda
2020-08-18,6.0,12.0,45.0,21.0,45.0,Ponda
2020-08-21,6.0,12.0,45.0,22.0,45.0,Ponda
2020-08-25,6.0,12.0,45.0,22.0,45.0,Ponda
2020-08-28,7.0,11.0,44.0,23.0,44.0,Ponda
2020-01-09,7.0,12.0,51.0,25.0,51.0,Ponda
2020-04-09,7.0,12.0,49.0,23.0,49.0,Ponda
2020-08-09,7.0,12.0,50.0,22.0,50.0,Ponda
2020-11-09,7.0,12.0,46.0,23.0,46.0,Ponda
2020-09-15,6.0,12.0,47.0,23.0,47.0,Ponda
2020-09-18,6.0,12.0,48.0,24.0,48.0,Ponda
2020-09-22,7.0,12.0,50.0,22.0,50.0,Ponda
2020-09-25,7.0,12.0,47.0,24.0,47.0,Ponda
2020-09-29,7.0,12.0,50.0,23.0,50.0,Ponda
2020-02-10,8.0,13.0,57.0,32.0,57.0,Ponda
2020-06-10,7.0,13.0,52.0,30.0,52.0,Ponda
2020-09-10,7.0,12.0,55.0,32.0,55.0,Ponda
2020-10-13,7.0,13.0,52.0,31.0,52.0,Ponda
2020-10-16,7.0,12.0,54.0,32.0,54.0,Ponda
2020-10-20,7.0,12.0,60.0,34.0,60.0,Ponda
2020-10-23,8.0,13.0,58.0,30.0,58.0,Ponda
2020-10-27,7.0,12.0,55.0,33.0,55.0,Ponda
2020-10-30,7.0,13.0,61.0,34.0,61.0,Ponda
2020-03-11,7.0,13.0,62.0,36.0,62.0,Ponda
2020-06-11,7.0,13.0,58.0,34.0,58.0,Ponda
2020-10-11,7.0,12.0,65.0,35.0,65.0,Ponda
2020-11-13,9.0,13.0,75.0,33.0,75.0,Ponda
2020-11-17,8.0,13.0,69.0,33.0,69.0,Ponda
2020-11-20,7.0,13.0,65.0,32.0,65.0,Ponda
2020-11-24,7.0,12.0,70.0,36.0,70.0,Ponda
2020-11-27,8.0,13.0,71.0,35.0,71.0,Ponda
2020-01-12,9.0,14.0,81.0,42.0,81.0,Ponda
2020-04-12,9.0,14.0,83.0,42.0,83.0,Ponda
2020-08-12,10.0,14.0,82.0,42.0,82.0,Ponda
2020-11-12,9.0,13.0,82.0,41.0,82.0,Ponda
2020-12-15,10.0,14.0,80.0,40.0,80.0,Ponda
2020-12-18,7.0,13.0,74.0,34.0,74.0,Ponda
2020-12-22,9.0,14.0,77.0,37.0,77.0,Ponda
2020-12-25,8.0,13.0,76.0,39.0,76.0,Ponda
2020-12-29,8.0,13.0,84.0,41.0,84.0,Ponda
2021-01-01,7.0,13.0,79.0,38.0,79.0,Ponda
2021-05-01,7.0,13.0,73.0,34.0,73.0,Ponda
2021-08-01,7.0,13.0,61.0,31.0,61.0,Ponda
2021-12-01,8.0,14.0,77.0,34.0,77.0,Ponda
2021-01-15,8.0,14.0,70.0,33.0,70.0,Ponda
2021-01-19,7.0,13.0,79.0,40.0,79.0,Ponda
2021-01-22,8.0,13.0,78.0,40.0,78.0,Ponda
2021-01-26,6.0,12.0,77.0,36.0,77.0,Ponda
2021-01-29,7.0,14.0,71.0,35.0,71.0,Ponda
2021-02-02,9.0,14.0,82.0,42.0,82.0,Ponda
2021-05-02,7.0,13.0,82.0,40.0,82.0,Ponda
2021-09-02,8.0,14.0,78.0,35.0,78.0,Ponda
2021-12-02,9.0,16.0,77.0,33.0,77.0,Ponda
2021-02-16,9.0,15.0,71.0,32.0,71.0,Ponda
2021-02-19,9.0,15.0,79.0,38.0,79.0,Ponda
2021-02-23,9.0,15.0,79.0,40.0,79.0,Ponda
2021-02-26,10.0,14.0,79.0,38.0,79.0,Ponda
2021-02-03,9.0,15.0,83.0,42.0,83.0,Ponda
2021-05-03,9.0,14.0,75.0,38.0,75.0,Ponda
2021-09-03,9.0,15.0,81.0,37.0,81.0,Ponda
2021-12-03,9.0,16.0,69.0,34.0,69.0,Ponda
2021-03-16,10.0,16.0,82.0,40.0,82.0,Ponda
2021-03-19,10.0,16.0,78.0,39.0,78.0,Ponda
2021-03-23,11.0,16.0,84.0,41.0,84.0,Ponda
2021-03-26,11.0,16.0,79.0,37.0,79.0,Ponda
2021-03-30,10.0,14.0,73.0,32.0,73.0,Ponda
2021-02-04,11.0,15.0,82.0,43.0,82.0,Ponda
2021-06-04,10.0,14.0,85.0,39.0,85.0,Ponda
2021-09-04,11.0,14.0,69.0,35.0,69.0,Ponda
2021-04-13,10.0,14.0,83.0,39.0,83.0,Ponda
2021-04-16,10.0,14.0,82.0,43.0,82.0,Ponda
2021-04-20,10.0,14.0,80.0,40.0,80.0,Ponda
2021-04-23,9.0,14.0,70.0,35.0,70.0,Ponda
2021-04-27,8.0,13.0,85.0,35.0,85.0,Ponda
2021-04-30,9.0,13.0,71.0,35.0,71.0,Ponda
2021-04-05,9.0,13.0,69.0,31.0,69.0,Ponda
2021-07-05,7.0,13.0,61.0,25.0,61.0,Ponda
2021-11-05,8.0,13.0,69.0,29.0,69.0,Ponda
2021-05-14,7.0,13.0,56.0,23.0,56.0,Ponda
2021-05-18,7.0,13.0,64.0,25.0,64.0,Ponda
