SAMPLING DATE,SO2 µgm3,NO2 µgm3,PM10 µgm3 ,PM2.5 µgm3 ,AQI
11092018,BDL,11,19,,19
19092018,BDL,BDL,49,,49
21092018,BDL,17,48,,48
25092018,BDL,9,117,,117
27092018,BDL,10,105,,105
04102018,BDL,13,45,-,45
09102018,BDL,17,34,FPS not operated due to rains,34
011102018,BDL,13,49,,49
016102018,BDL,10,59,,59
023102018,BDL,15,88,,88
025102018,BDL,17,39,,39
031102018,BDL,BDL,63,,63
02112018,BDL,13,41,,41
05112018,4,BDL,27,,27
08112018,BDL,BDL,100,,100
14112018,BDL,17,159,,139
16112018,BDL,21,112,,108
20112018,5,12,25,,25
22112018,6,26,50,,50
27112018,7,12,150,98,133
29112018,7,BDL,155,97,137
04122018,6,21,187,,158
06122018,6,12,221,,180
11122018,7,13,59,77,59
13122018,7,BDL,53,64,53
18122018,8,BDL,41,24,41
20122018,BDL,BDL,78,15,78
27122018,BDL,BDL,304,64,254
29122018,BDL,BDL,180,44,153
01012019,BDL,16,169,44,146
03012019,BDL,19,46,9,46
08012019,BDL,13,222,105,181
10012019,BDL,15,116,53,111
15012019,BDL,11,208,43,172
17012019,BDL,16,123,41,116
22012019,6,29,31,14,31
24012019,8,24,28,,28
29012019,5,9,112,,108
31012019,BDL,BDL,44,,44
05022019,BDL,9,249,,199
07022019,BDL,9,126,,118
13022019,BDL,18,116,,111
15022019,BDL,BDL,84,41,84
18022019,10,26,96,86,96
21022019,5,BDL,98,59,98
25022019,BDL,19,109,35,106
27022019,BDL,BDL,126,35,118
05032019,BDL,20,148,114,132
07032019,BDL,14,124,58,116
11032019,5,BDL,181,8,154
13032019,7,11,263,43,213
20032019,7,9,52,36,52
22032019,7,13,215,11,176
27032019,8,9,77,69,77
29032019,3,BDL,50,48,50
,,,,,
,,,,,
01042020,57,52,2,14,87
03042020,54,41,2,7,68
06042020,19,15,2,5,25
08042020,59,15,2,5,59
15042020,59,13,2,5,59
17042020,37,23,2,5,38
22042020,31,22,2,5,37
24042020,45,24,3,5,45
28042020,38,11,2,5,38
30042020,57,8,2,5,57
,,,,,
06052020,35,10,2,5,35
08052020,34,8,2,5,34
13052020,41,13,2,5,41
05152020,56,51,2,5,85
05202020,55,22,2,8,55
05222020,44,2,2,5,44
05272020,72,4,2,5,72
05292020,66,8,2,5,66
,,,,,
05062020,142,*,2,5,128
,,,,,
02092020,51,*,2,5,51
04092020,48,*,2,9,48
09092020,27,*,2,5,27
09162020,43,*,2,5,43
09232020,21,*,2,5,21
09292020,57,*,2,5,57
,,,,,
01102020,39,*,2,5,39
07102020,25,7,2,5,25
09102020,25,*,2,11,25
14102020,28,*,2,5,28
16102020,25,*,2,5,25
21102020,25,*,2,5,25
23102020,30,*,2,5,30
28102020,35,*,2,5,35
30102020,21,*,2,5,21
,,,,,
04112020,40,*,2,4.5,40
06112020,44,*,2,4.5,44
11112020,77,*,2,4.5,77
13112020,19,*,2,4.5,19
18112020,28,*,2,4.5,28
20112020,50,*,2,4.5,50
25112020,76,*,2,11,76
27112020,54,*,2,11,54
,,,,,
01122020,47,*,2,5,47
04122020,66,*,2,11,66
09122020,59,*,9,5,59
11122020,30,*,2,9,30
16122020,62,*,2,10,62
18122020,106,*,2,12,104
22122020,61,*,2,10,61
12422020,58,*,2,11,58
30122020,98,*,2,11,98
,,,,,
01012021,69,*,2,12,69
06012021,46,*,2,11,46
08012021,41,*,2,13,41
13012021,69,63,2,12,110
15012021,75,42,2,13,75
20012021,78,56,2,12,93
22012021,78,85,2,13,183
27012021,115,82,2,10,173
29012021,100,91,2,11,203
,,,,,
03022021,67,37,2,5,67
05022021,99,57,2,12,99
10022021,76,36,2,15,76
12122021,117,60,2,24,111
17022021,111,65,2,22,117
19022021,69,74,2,21,147
24022021,78,21,2,16,78
26022021,83,21,2,23,83
,,,,,
03032021,69,10,2,22,69
05032021,88,25,2,11,88
10032021,66,9,2,22,66
12032021,73,45,2,20,75
17032021,72,12,2,27,72
19032021,125,46,2,21,117
24032021,71,45,2,11,75
26032021,89,66,12,25,120
30032021,59,45,2,26,75
