SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3,PM2.5 µg/m3,AQI,City
2021-01-30,7.0,13.0,76.0,34.0,60.182156133829,Margao
2021-03-02,7.0,14.0,83.0,42.0,81.0,Margao
2021-06-02,9.0,14.0,81.0,38.0,73.0,Margao
2021-10-02,9.0,13.0,73.0,35.0,70.0,Margao
2021-12-02,7.0,14.0,70.0,33.0,79.0,Margao
2021-02-17,9.0,15.0,79.0,37.0,72.0,Margao
2021-02-20,8.0,14.0,72.0,35.0,79.0,Margao
2021-02-24,8.0,15.0,79.0,39.0,73.0,Margao
2021-02-26,8.0,14.0,73.0,35.0,60.182156133829,Margao
2021-03-03,8.0,15.0,70.0,38.0,83.0,Margao
2021-06-03,9.0,15.0,83.0,41.0,78.0,Margao
2021-10-03,9.0,13.0,78.0,35.0,70.0,Margao
2021-03-13,8.0,14.0,70.0,35.0,79.0,Margao
2021-03-17,10.0,15.0,79.0,38.0,76.0,Margao
2021-03-20,9.0,15.0,76.0,34.0,76.0,Margao
2021-03-24,10.0,15.0,76.0,39.0,67.0,Margao
2021-03-27,9.0,15.0,67.0,32.0,70.0,Margao
2021-03-31,9.0,14.0,70.0,35.0,60.182156133829,Margao
